,epmc_id,source,datalink_ID,datalink_IDScheme,datalink_IDURL,datalink_Category
586,32904132,MED,SRP188799,ENA,http://www.ebi.ac.uk/ena/data/view/SRP188799,Nucleotide Sequences
588,33319812,MED,CP006958,ENA,http://identifiers.org/ebi/ena.embl:CP006958,Nucleotide Sequences
593,33806322,MED,PRJNA692367,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA692367,Nucleotide Sequences
638,26918470,MED,PRJNA276504,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA276504,Nucleotide Sequences
664,28646076,MED,PRJNA362368,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA362368,Nucleotide Sequences
671,28138557,MED,ERP012260,ENA,http://identifiers.org/ebi/ena.embl:ERP012260,Nucleotide Sequences
672,28138557,MED,PRJEB37892,ENA,http://www.ebi.ac.uk/ena/data/view/PRJEB37892,Nucleotide Sequences
673,28138557,MED,ERP121234,ENA,http://www.ebi.ac.uk/ena/data/view/ERP121234,Nucleotide Sequences
680,30850646,MED,PRJNA517414,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA517414,Nucleotide Sequences
681,30850646,MED,SRP182649,ENA,http://www.ebi.ac.uk/ena/data/view/SRP182649,Nucleotide Sequences
685,31378695,MED,PRJNA530268,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA530268,Nucleotide Sequences
693,31664087,MED,PRJNA557469,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA557469,Nucleotide Sequences
694,32289533,MED,AK055957,ENA,http://identifiers.org/ebi/ena.embl:AK055957,Nucleotide Sequences
702,25215577,MED,PRJNA242344,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA242344,Nucleotide Sequences
705,31358576,MED,PRJNA448890,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA448890,Nucleotide Sequences
706,31358576,MED,SRP137706,ENA,http://www.ebi.ac.uk/ena/data/view/SRP137706,Nucleotide Sequences
710,28103284,MED,BG389789,ENA,http://identifiers.org/ebi/ena.embl:BG389789,Nucleotide Sequences
711,28103284,MED,AI949912,ENA,http://identifiers.org/ebi/ena.embl:AI949912,Nucleotide Sequences
712,28103284,MED,AI475680,ENA,http://identifiers.org/ebi/ena.embl:AI475680,Nucleotide Sequences
713,28103284,MED,H78083,ENA,http://identifiers.org/ebi/ena.embl:H78083,Nucleotide Sequences
720,31023846,MED,PRJNA306670,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA306670,Nucleotide Sequences
721,31023846,MED,PRJNA306669,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA306669,Nucleotide Sequences
722,31023846,MED,PRJNA306665,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA306665,Nucleotide Sequences
727,24067902,MED,SRP010669,ENA,http://www.ebi.ac.uk/ena/data/view/SRP010669,Nucleotide Sequences
728,24067902,MED,PRJNA156113,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA156113,Nucleotide Sequences
729,24067902,MED,PRJNA156115,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA156115,Nucleotide Sequences
730,24067902,MED,SRP010670,ENA,http://www.ebi.ac.uk/ena/data/view/SRP010670,Nucleotide Sequences
